Rank,temp
250,6.300000191
251,6
252,7.099999905
253,5.699999809
254,5.699999809
255,6.199999809
256,5
257,5.400000095
258,5.199999809
259,5
260,4
261,4.699999809
262,4.800000191
263,5
264,4.5
265,4.300000191
266,4.199999809
267,5
268,4.199999809
269,5.199999809
270,4.800000191
271,3.799999952
272,3.700000048
273,4.400000095
274,3.200000048
275,5
276,3.700000048
277,5
278,3.799999952
279,4.5
280,4.300000191
281,4.699999809
282,3.5
283,3.799999952
284,3.799999952
285,3.099999905
286,2.599999905
287,2.299999952
288,2.099999905
289,1.600000024
290,1.5
291,1.200000048
292,1.100000024
293,-0.200000003
294,-0.300000012
295,0.699999988
296,1
297,3.099999905
298,5
299,6.199999809
300,5.199999809
301,4.800000191
302,4
303,3.599999905
304,3.799999952
305,3
306,2.099999905
307,1.899999976
308,1.5
309,1.799999952
310,1.799999952
311,1.399999976
312,0.800000012
313,1.299999952
314,2
315,3.099999905
316,3.099999905
317,2.200000048
318,1.700000048
319,1.799999952
320,0.899999976
321,1.299999952
322,1.899999976
323,3.900000095
324,2.900000095
325,2.900000095
326,2.599999905
327,2.599999905
328,2.799999952
329,2.900000095
330,2.099999905
331,1.5
332,1.399999976
333,0.600000024
334,0.100000001
335,0.300000012
336,0.400000006
337,0.600000024
338,0.600000024
339,0.5
340,0.200000003
341,0.200000003
342,-0.800000012
343,-1.399999976
344,-1
345,2.200000048
346,3.599999905
347,4.400000095
348,4.5
349,4.099999905
350,3.900000095
351,2.299999952
352,0.300000012
353,-1
354,-1.100000024
355,-1.600000024
356,-2.200000048
357,-3.599999905
358,-3.599999905
359,-4.199999809
360,-4.900000095
361,-5.5
362,-5.5
363,-5.5
364,-5.800000191
365,-5.900000095
366,-6.099999905
367,-5.599999905
368,-4.400000095
369,0.5
370,1.200000048
371,2.400000095
372,2.700000048
373,2.900000095
374,2.900000095
375,1.799999952
376,-0.300000012
377,-0.699999988
378,-1.5
379,-2.200000048
380,-3
381,-3.400000095
382,-3.5
383,-4.099999905
384,-5.099999905
385,-5.300000191
386,-4.599999905
387,-5.099999905
388,-4.400000095
389,-2.5
390,-1.600000024
391,-1.299999952
392,-0.600000024
393,0.200000003
394,1.299999952
395,2.299999952
396,3.400000095
397,3.900000095
398,3.599999905
399,3.299999952
400,3.200000048
401,3.099999905
402,3.200000048
403,3.400000095
404,3.5
405,3.5
406,3.5
407,3.299999952
408,3.299999952
409,3.599999905
410,3.700000048
411,3.900000095
412,4
413,4.099999905
414,4
415,4.099999905
416,4.400000095
417,4.800000191
418,4.699999809
419,4.900000095
420,5.099999905
421,4.900000095
422,4.699999809
423,4.5
424,4.599999905
425,4.599999905
426,4.5
427,4.400000095
428,4.599999905
429,4.599999905
430,4.300000191
431,4.599999905
432,4.900000095
433,4.800000191
434,5.099999905
435,5.300000191
436,5.300000191
437,5.099999905
438,5.300000191
439,4.800000191
440,5
441,5.300000191
442,5
443,5.800000191
444,4.900000095
445,5.099999905
446,5.099999905
447,4.900000095
448,4.900000095
449,5
450,5.199999809
451,5.199999809
452,5.699999809
453,5.599999905
454,5.599999905
455,5.800000191
456,5.800000191
457,5.5
458,5.699999809
459,5.599999905
460,5.800000191
461,5.800000191
462,5.599999905
463,5.900000095
464,5.900000095
465,6.099999905
466,6.099999905
467,6
468,5.900000095
469,5.800000191
470,6
471,5.800000191
472,5.5
473,5.599999905
474,5.599999905
475,5.5
476,5.800000191
477,5.900000095
478,6.099999905
479,6.300000191
480,6.5
481,6.599999905
482,6.199999809
483,5.800000191
484,5.400000095
485,5.599999905
486,6.300000191
487,6.5
488,6.800000191
489,7.400000095
490,7.800000191
491,7.800000191
492,7.900000095
493,7.5
494,7.400000095
495,6.900000095
496,6.800000191
497,6.699999809
498,6.699999809
499,6.599999905
500,6.400000095
501,6.699999809
502,6.599999905
503,6.199999809
504,6.099999905
505,5.900000095
506,5.699999809
507,6
508,5.199999809
509,5
510,5.099999905
511,4.300000191
512,4
513,3.799999952
514,3.700000048
515,3.599999905
516,3.400000095
517,3.099999905
518,2.700000048
519,2.5
520,2.099999905
521,2
522,1.700000048
523,1.700000048
524,1.600000024
525,1.700000048
526,2.5
527,2.400000095
528,2.299999952
529,2.299999952
530,2.400000095
531,2.400000095
532,2.700000048
533,2.5
534,1.799999952
535,2
536,3.200000048
537,3.799999952
538,4.699999809
539,4.599999905
540,6.300000191
541,6.199999809
542,5.5
543,4.800000191
544,4
545,3.5
546,3
547,2.799999952
548,2.900000095
549,2.799999952
550,3.200000048
551,2.599999905
552,1.5
553,0.300000012
554,1.100000024
555,2.099999905
556,2.799999952
557,3.599999905
558,4
559,4.099999905
560,4.5
561,5
562,5.300000191
563,5.300000191
564,6
565,5.400000095
566,5.400000095
567,5
568,4.900000095
569,5.199999809
570,4.5
571,4.300000191
572,3.5
573,3.099999905
574,3
575,2.900000095
576,2.5
577,2.599999905
578,2.400000095
579,2.400000095
580,2.299999952
581,2.299999952
582,2.5
583,2.700000048
584,2.799999952
585,3
586,3.400000095
587,3.299999952
588,3
589,2.5
590,2.400000095
591,2
592,1.899999976
593,1.5
594,1.299999952
595,1.299999952
596,1
597,0
598,0.300000012
599,0.200000003
600,-0.100000001
601,-0.800000012
602,-1.399999976
603,-1.899999976
604,-2.099999905
605,-2.700000048
606,-2.799999952
607,-2.799999952
608,-2.799999952
609,-2.5
610,-2.099999905
611,0.200000003
612,1.299999952
613,-0.100000001
614,-0.200000003
615,0.100000001
616,0.5
617,0.300000012
618,0.200000003
619,-0.200000003
620,-0.400000006
621,-0.200000003
622,-0.200000003
623,-0.300000012
624,-0.5
625,-0.600000024
626,-0.600000024
627,-0.600000024
628,-0.699999988
629,-0.699999988
630,-0.600000024
631,-0.600000024
632,-0.300000012
633,0.5
634,1.399999976
