Rank,wind speed
1023,1.399999976
1024,1.299999952
1025,0.600000024
1026,0.699999988
1027,1
1028,2
1029,0.600000024
1030,0.600000024
1031,0.600000024
1032,0.699999988
1033,1
1034,1.5
1035,1.5
1036,1.200000048
1037,1.899999976
1038,2.799999952
1039,1.700000048
1040,0.800000012
1041,2.700000048
1042,1.5
1043,0.699999988
1044,3
1045,0.400000006
1046,1.5
1047,0.600000024
1048,0.699999988
1049,0.5
1050,0.699999988
1051,0.800000012
1052,1.200000048
1053,0.899999976
1054,1.600000024
1055,1.100000024
1056,1.899999976
1057,1.799999952
1058,0.800000012
1059,1.700000048
1060,0.600000024
1061,1.100000024
1062,0.600000024
1063,1.5
1064,1
1065,2.5
1066,3.099999905
1067,3.5
1068,2.799999952
1069,1.399999976
1070,0.899999976
1071,1.600000024
1072,0.600000024
1073,1.700000048
1074,1.5
1075,1.299999952
1076,2.200000048
1077,2.200000048
1078,2.200000048
1079,1.899999976
1080,1.700000048
1081,1
1082,0.600000024
1083,1.700000048
1084,1.600000024
1085,0.899999976
1086,0.800000012
1087,0.800000012
1088,1.200000048
1089,1.399999976
1090,1.299999952
1091,0.699999988
1092,1.600000024
1093,1.399999976
1094,1.100000024
1095,0.699999988
1096,0.800000012
1097,1.5
1098,2.200000048
1099,2.900000095
1100,2.099999905
1101,3.200000048
1102,2.5
1103,1.5
1104,2.200000048
1105,2.5
1106,2.5
1107,2
1108,2.799999952
1109,2
1110,3.700000048
1111,3.700000048
1112,3.299999952
1113,2.799999952
1114,3.799999952
1115,3
1116,2
1117,1.600000024
1118,4.800000191
1119,3.099999905
1120,2.200000048
1121,3.200000048
1122,1.600000024
1123,2.5
1124,2.099999905
1125,2.099999905
1126,1.5
1127,1.799999952
1128,1.700000048
1129,1
1130,1.100000024
1131,0.400000006
1132,0
1133,0
1134,0
1135,0.100000001
1136,0.100000001
1137,1
1138,0.200000003
1139,2
1140,0.699999988
1141,2
1142,1.799999952
1143,1.600000024
1144,1.299999952
1145,1.299999952
1146,0.5
1147,1.399999976
1148,0.300000012
1149,0.300000012
1150,0.200000003
1151,0.699999988
1152,0.5
1153,0.899999976
1154,1.100000024
1155,1.100000024
1156,1
1157,1.100000024
1158,0.600000024
1159,0.5
1160,0.5
1161,1.5
1162,1.600000024
1163,1.799999952
1164,0.699999988
1165,3.099999905
1166,2.400000095
1167,1.700000048
1168,1.5
1169,3
1170,2.700000048
1171,2.200000048
1172,2.299999952
1173,2.5
1174,2
1175,3.099999905
1176,3.099999905
1177,3.099999905
1178,4.400000095
1179,2.400000095
1180,3.799999952
1181,3.900000095
1182,2.400000095
1183,1.899999976
1184,0.5
1185,1.600000024
1186,0.699999988
1187,1.200000048
1188,0.899999976
1189,0.800000012
1190,0.200000003
1191,1.299999952
1192,0.5
1193,1.299999952
1194,1.200000048
1195,0.600000024
1196,0.699999988
1197,1.100000024
1198,1.299999952
1199,2.799999952
1200,3.200000048
1201,3.299999952
1202,4.099999905
1203,3.200000048
1204,4.400000095
1205,3.799999952
1206,3.799999952
1207,3.299999952
1208,2.700000048
1209,1.5
1210,2.799999952
1211,2.799999952
1212,2.299999952
1213,3
1214,2.299999952
1215,2.299999952
1216,2.5
1217,2.799999952
1218,2.900000095
1219,1.700000048
1220,1.399999976
1221,1.700000048
1222,1
1223,2.299999952
1224,1.5
1225,1.799999952
1226,1.899999976
1227,1.899999976
1228,1.600000024
1229,1.299999952
1230,2.299999952
1231,1.799999952
1232,3
1233,2.799999952
1234,3.299999952
1235,2.099999905
1236,2.5
1237,2.299999952
1238,2
1239,1
1240,2.299999952
1241,0.600000024
1242,2.700000048
1243,2.599999905
1244,4
1245,3.5
1246,4.199999809
1247,7.599999905
1248,5.199999809
1249,6.900000095
1250,3.799999952
1251,4.099999905
1252,2.299999952
1253,2.5
1254,2.400000095
1255,2.799999952
1256,1.700000048
1257,3.700000048
1258,2.5
1259,4.099999905
1260,4.800000191
1261,2.299999952
1262,4.800000191
1263,4.300000191
1264,3
1265,3
1266,2.900000095
1267,4.300000191
1268,3
1269,4.199999809
1270,4.599999905
1271,3.700000048
1272,2.700000048
1273,3.400000095
1274,3.099999905
1275,1.799999952
1276,0.800000012
1277,0.699999988
1278,0.200000003
1279,0.899999976
1280,1.299999952
1281,1.200000048
1282,1.799999952
1283,1.299999952
1284,2.099999905
